,issue_key,project_key,author,id,created,body,chronological_number,clean_comment
10,CONJ-22,CONJ,Elena Stepanova,29870,2013-02-07 00:27:09,"Strictly speaking, apart from the unique feature, there is probably also performance at stake (I didn't run benchmarks, but I expect server-side prepared statements to be faster); but otherwise I agree, it's a feature request, and not even a critical one, considering the number of problems with prepared statements on the server side. Sorry for not finding it on the KB page.

Unfortunately, the lack of the feature described in CONJ-21 means that client applications relying on it and trying to switch from connector/j to mariadb library will start throwing rather ugly null pointer exceptions. ",2,"Strictly speaking, apart from the unique feature, there is probably also performance at stake (I didn't run benchmarks, but I expect server-side prepared statements to be faster); but otherwise I agree, it's a feature request, and not even a critical one, considering the number of problems with prepared statements on the server side. Sorry for not finding it on the KB page.

Unfortunately, the lack of the feature described in CONJ-21 means that client applications relying on it and trying to switch from connector/j to mariadb library will start throwing rather ugly null pointer exceptions. "
11,CONJ-22,CONJ,Andy Shulman,35768,2013-11-03 03:25:07,I'd just like to +1 this issue. I just switched from the Oracle JDBC driver because it didn't support PreparedStatement rewriting. I'm sad to lose server-side PreparedStatements as they are quite a bit faster for my application (though rewriting is a much bigger increase). Getting both features in one driver would be fantastic.,3,I'd just like to +1 this issue. I just switched from the Oracle JDBC driver because it didn't support PreparedStatement rewriting. I'm sad to lose server-side PreparedStatements as they are quite a bit faster for my application (though rewriting is a much bigger increase). Getting both features in one driver would be fantastic.
12,CONJ-22,CONJ,Paolo Bazzi,73200,2015-07-06 10:16:58,"Using the new MariaDB JDBC Driver 1.1.9 I'm still not able to show that server-prepared statements are working. 

Using the attached test case from above still prints out the following:
Prepared_stmt_count before prepare: 0
Prepared_stmt_count after prepare: 0

If I switch the testcase and use the mysql-connector-java-5.1.32-bin.jar JDBC driver, the output is as expected:
Prepared_stmt_count before prepare: 0
Prepared_stmt_count after prepare: 1

Could you check again, if this issues was really solved with 1.1.9?
",4,"Using the new MariaDB JDBC Driver 1.1.9 I'm still not able to show that server-prepared statements are working. 

Using the attached test case from above still prints out the following:
Prepared_stmt_count before prepare: 0
Prepared_stmt_count after prepare: 0

If I switch the testcase and use the mysql-connector-java-5.1.32-bin.jar JDBC driver, the output is as expected:
Prepared_stmt_count before prepare: 0
Prepared_stmt_count after prepare: 1

Could you check again, if this issues was really solved with 1.1.9?
"
13,CONJ-22,CONJ,diego dupin,73202,2015-07-06 11:39:57,"The PreparedStatement rewriting has been fixed, but that doesn't include this issue.
it is indeed not fixed. 
",5,"The PreparedStatement rewriting has been fixed, but that doesn't include this issue.
it is indeed not fixed. 
"
14,CONJ-22,CONJ,Marcel Schneider,79882,2016-01-15 16:39:21,"I verified this with version 1.3.3, and it seems that the useServerPrepStmts parameter still does not work.
I suggest to reopen the ticket.",6,"I verified this with version 1.3.3, and it seems that the useServerPrepStmts parameter still does not work.
I suggest to reopen the ticket."
15,CONJ-22,CONJ,Marcel Schneider,80410,2016-01-27 17:30:36,Shall i make a new ticket?,7,Shall i make a new ticket?
16,CONJ-22,CONJ,Diego Dupin,80444,2016-01-29 10:43:20,"Hi, 
I check again and this work. 
Can you elaborate on the problem you have ?

some tests case i've run:
{code:java}
    @Test
    public void serverExecutionTest() throws SQLException {
        createTable(""ServerPrepareStatementTestt"", ""id int not null primary key auto_increment, test boolean"");
        try (Connection connection = setConnection()){
            Statement statement = connection.createStatement();
            ResultSet rs = statement.executeQuery(""show global status like 'Prepared_stmt_count'"");
            assertTrue(rs.next());
            final int nbStatementCount = rs.getInt(2);

            PreparedStatement ps = connection.prepareStatement(
                    ""INSERT INTO ServerPrepareStatementTestt (test) VALUES (?)"");
            ps.setBoolean(1, true);
            ps.addBatch();
            ps.execute();

            rs = statement.executeQuery(""show global status like 'Prepared_stmt_count'"");
            assertTrue(rs.next());
            assertTrue(rs.getInt(2) == nbStatementCount + 1);
        }
    }
{code}

{code:java}
    @Test
    public void testCache() throws SQLException {
        createTable(""ServerPrepareStatementPrepareCache"", ""id int not null primary key auto_increment, test varchar(20)"");
        try (Connection connection = setConnection()) {
            final String QUERY = ""INSERT INTO ServerPrepareStatementPrepareCache(test) VALUES (?)"";
            final long startTime = System.nanoTime();
            PreparedStatement pstmt = connection.prepareStatement(QUERY);
            pstmt.setString(1, ""test1"");
            pstmt.execute();
            final long executionTime = System.nanoTime() - startTime;

            final long startTimeSecond = System.nanoTime();
            PreparedStatement pstmt2 = connection.prepareStatement(QUERY);
            pstmt2.setString(1, ""test2"");
            pstmt2.execute();
            final long executionTimeSecond = System.nanoTime() - startTimeSecond;

            System.out.println(""total time : "" + (executionTimeSecond) + "" first : "" + executionTime);
            Assert.assertTrue(executionTimeSecond  * 10 < executionTime);

            ResultSet resultSet = connection.createStatement().executeQuery(""SELECT * FROM ServerPrepareStatementPrepareCache"");
            if (resultSet.next()) {
                Assert.assertEquals(""test1"", resultSet.getString(2));
                if (resultSet.next()) {
                    Assert.assertEquals(""test2"", resultSet.getString(2));
                } else {
                    Assert.fail(""Must have a result"");
                }
            } else {
                Assert.fail(""Must have a result"");
            }
        }
    }
{code}
console result is : 
second query is total time : 2788435 first : 59721444
 ",8,"Hi, 
I check again and this work. 
Can you elaborate on the problem you have ?

some tests case i've run:
{code:java}
    @Test
    public void serverExecutionTest() throws SQLException {
        createTable(""ServerPrepareStatementTestt"", ""id int not null primary key auto_increment, test boolean"");
        try (Connection connection = setConnection()){
            Statement statement = connection.createStatement();
            ResultSet rs = statement.executeQuery(""show global status like 'Prepared_stmt_count'"");
            assertTrue(rs.next());
            final int nbStatementCount = rs.getInt(2);

            PreparedStatement ps = connection.prepareStatement(
                    ""INSERT INTO ServerPrepareStatementTestt (test) VALUES (?)"");
            ps.setBoolean(1, true);
            ps.addBatch();
            ps.execute();

            rs = statement.executeQuery(""show global status like 'Prepared_stmt_count'"");
            assertTrue(rs.next());
            assertTrue(rs.getInt(2) == nbStatementCount + 1);
        }
    }
{code}

{code:java}
    @Test
    public void testCache() throws SQLException {
        createTable(""ServerPrepareStatementPrepareCache"", ""id int not null primary key auto_increment, test varchar(20)"");
        try (Connection connection = setConnection()) {
            final String QUERY = ""INSERT INTO ServerPrepareStatementPrepareCache(test) VALUES (?)"";
            final long startTime = System.nanoTime();
            PreparedStatement pstmt = connection.prepareStatement(QUERY);
            pstmt.setString(1, ""test1"");
            pstmt.execute();
            final long executionTime = System.nanoTime() - startTime;

            final long startTimeSecond = System.nanoTime();
            PreparedStatement pstmt2 = connection.prepareStatement(QUERY);
            pstmt2.setString(1, ""test2"");
            pstmt2.execute();
            final long executionTimeSecond = System.nanoTime() - startTimeSecond;

            System.out.println(""total time : "" + (executionTimeSecond) + "" first : "" + executionTime);
            Assert.assertTrue(executionTimeSecond  * 10 < executionTime);

            ResultSet resultSet = connection.createStatement().executeQuery(""SELECT * FROM ServerPrepareStatementPrepareCache"");
            if (resultSet.next()) {
                Assert.assertEquals(""test1"", resultSet.getString(2));
                if (resultSet.next()) {
                    Assert.assertEquals(""test2"", resultSet.getString(2));
                } else {
                    Assert.fail(""Must have a result"");
                }
            } else {
                Assert.fail(""Must have a result"");
            }
        }
    }
{code}
console result is : 
second query is total time : 2788435 first : 59721444
 "
17,CONJ-22,CONJ,Marcel Schneider,80446,2016-01-29 13:35:02,"I can reproduce your test cases: they work as intended. So I went back to my case which doesn't work. After some analyses I found this:
the caching does work if you use a statement with a bind, like this:
""select count(1) from ServerPrepareStatementTestt where id=?"".
However, the caching does not work if you don't use a bind, like this:
""select count(1) from ServerPrepareStatementTestt where 1=1"".
When I switch to the mysql driver, the caching works in both cases.",9,"I can reproduce your test cases: they work as intended. So I went back to my case which doesn't work. After some analyses I found this:
the caching does work if you use a statement with a bind, like this:
""select count(1) from ServerPrepareStatementTestt where id=?"".
However, the caching does not work if you don't use a bind, like this:
""select count(1) from ServerPrepareStatementTestt where 1=1"".
When I switch to the mysql driver, the caching works in both cases."
18,CONJ-22,CONJ,Marcel Schneider,83391,2016-05-12 11:47:23,Were you able to reproduce my results (using literals instead of binds)? Showing that the issue is still open?,10,Were you able to reproduce my results (using literals instead of binds)? Showing that the issue is still open?
19,CONJ-26,CONJ,Vladislav Vaintroub,31598,2013-04-28 20:15:44,"I think fetch direction can safely be ignored. after looking again at spec. this is a hint to the driver, which has no visible effects during runtime (i.e ResultSet.next() will still move forward, and previous() will move backward).  We cannot use this hint - to move backwards with ResultSet.previous(), we have to read and cache the whole result,  no way around it.",1,"I think fetch direction can safely be ignored. after looking again at spec. this is a hint to the driver, which has no visible effects during runtime (i.e ResultSet.next() will still move forward, and previous() will move backward).  We cannot use this hint - to move backwards with ResultSet.previous(), we have to read and cache the whole result,  no way around it."
20,CONJ-26,CONJ,Paolo Bazzi,81268,2016-02-24 17:53:54,"+1 for solving this issue....  
We run into a similiar problem while reading a large set of data from a MariaDB and were forced to switch to the streamed mode, since we ran into OutOfMemory exceptions when fetching all records at once (~8m records). Other JDBC drivers (like Oracle) only fetch the records, when iterating over the result set and therefore require a lot less of memory if the records are processed in a loop and then discarded. 
It would be great to support a configurable fetch size instead of force the user to decide wether to read all or nothing.",2,"+1 for solving this issue....  
We run into a similiar problem while reading a large set of data from a MariaDB and were forced to switch to the streamed mode, since we ran into OutOfMemory exceptions when fetching all records at once (~8m records). Other JDBC drivers (like Oracle) only fetch the records, when iterating over the result set and therefore require a lot less of memory if the records are processed in a loop and then discarded. 
It would be great to support a configurable fetch size instead of force the user to decide wether to read all or nothing."
21,CONJ-26,CONJ,Diego Dupin,81269,2016-02-24 17:56:58,Some good news Paolo : that's in the roadmap for next version 1.4.0.,3,Some good news Paolo : that's in the roadmap for next version 1.4.0.
22,CONJ-26,CONJ,Vladislav Vaintroub,81270,2016-02-24 17:57:57,"[~bazzip] ,alas, is no principal difference between streamed mode  and configurable fetch size. streaming mode requires least memory though :) 
Are you unhappy to be ""forced"" into this mode?",4,"[~bazzip] ,alas, is no principal difference between streamed mode  and configurable fetch size. streaming mode requires least memory though :) 
Are you unhappy to be ""forced"" into this mode?"
23,CONJ-26,CONJ,Paolo Bazzi,81272,2016-02-24 18:10:42,"@Diego very nice to hear!

@Vladislav 
Two issues with the streamed mode
* We use shared java code which is executed on both MariaDB and Oracle databases (some kind of data replication). The fetch size is set for each statement according to business logic and expected statement result size. With this setup we run into OutOfMemoryException problems with large data sets and the MariaDB JDBC driver, since the driver tried to load all data into memory. We were forced to implement a ""if oracle then use fetchSize else use Integer.MIN_VALUE"" Hack to solve the problem
* I would expect a performance gain using an adequate fetch size instead of the streaming mode, which requires a JDBC driver <-> database server network round trip for each fetched result row",5,"@Diego very nice to hear!

@Vladislav 
Two issues with the streamed mode
* We use shared java code which is executed on both MariaDB and Oracle databases (some kind of data replication). The fetch size is set for each statement according to business logic and expected statement result size. With this setup we run into OutOfMemoryException problems with large data sets and the MariaDB JDBC driver, since the driver tried to load all data into memory. We were forced to implement a ""if oracle then use fetchSize else use Integer.MIN_VALUE"" Hack to solve the problem
* I would expect a performance gain using an adequate fetch size instead of the streaming mode, which requires a JDBC driver  database server network round trip for each fetched result row"
24,CONJ-26,CONJ,Vladislav Vaintroub,81273,2016-02-24 18:32:07,"I agree on portability, but I doubt you will gain any performance
 
 the driver does exactly the same amount of network reads, and the server the same amount of writes.
The server writes whole result set, the client reads the whole result set, Oracle may and actually does perform very differently.
",6,"I agree on portability, but I doubt you will gain any performance
 
 the driver does exactly the same amount of network reads, and the server the same amount of writes.
The server writes whole result set, the client reads the whole result set, Oracle may and actually does perform very differently.
"
25,CONJ-26,CONJ,Diego Dupin,82508,2016-04-04 20:43:22,"This is now implemented on version 1.4.0.

Like Vladislav say, since all datas have to be read, performance doesn't change a lot, 
 
JMH results (source https://codeshare.io/OlBRO) when streaming 100,000 rows 

Bench.fetchSizeBy1000       : 50.274 ± 0.206  ms/op (read with fetch size 1000)
Bench.fetchSizeAll               : 50.593 ± 0.252  ms/op (read all data)
Bench.fetchSizeOneByOne : 51.641 ± 0.299  ms/op (fetch one by one)

No big difference, but avoiding to create a big buffer permit to gain a small 1%, ( and avoid loading all in memory)
",7,"This is now implemented on version 1.4.0.

Like Vladislav say, since all datas have to be read, performance doesn't change a lot, 
 
JMH results (source URL when streaming 100,000 rows 

Bench.fetchSizeBy1000       : 50.274 ± 0.206  ms/op (read with fetch size 1000)
Bench.fetchSizeAll               : 50.593 ± 0.252  ms/op (read all data)
Bench.fetchSizeOneByOne : 51.641 ± 0.299  ms/op (fetch one by one)

No big difference, but avoiding to create a big buffer permit to gain a small 1%, ( and avoid loading all in memory)
"
26,CONJ-322,CONJ,Archimedes Trajano,95376,2017-05-16 19:45:49,Does MariaDB support updating resultsets meaning it just needs to be implemented in the Java connector or does it fundamentally not support it?,1,Does MariaDB support updating resultsets meaning it just needs to be implemented in the Java connector or does it fundamentally not support it?
27,CONJ-322,CONJ,Diego Dupin,95422,2017-05-17 14:10:00,"Protocol doesn't support it. 
But still, MySQL Driver support this functionality by executing lot of underlying queries. 
It's currently in study for next version.

Using UPDATE query will always have better performance. ",2,"Protocol doesn't support it. 
But still, MySQL Driver support this functionality by executing lot of underlying queries. 
It's currently in study for next version.

Using UPDATE query will always have better performance. "
28,CONJ-322,CONJ,Archimedes Trajano,95423,2017-05-17 14:19:35,"Well if underlying it does the queries then for sure it will have better performance.  Perhaps MariaDB should implement it on the server level instead basically when it requests a result set that is {{ResultSet.CONCUR_UPDATABLE}} the rows are ""locked"" on the database side which will then take in a non standard SQL construct of multi-update.  A further optimization can be done by stating...

Updatable Result Sets must contain all the primary key columns of a table AND must not be the result of a {{join}} AND updates on the primary key(s) is not allowed.",3,"Well if underlying it does the queries then for sure it will have better performance.  Perhaps MariaDB should implement it on the server level instead basically when it requests a result set that is {{ResultSet.CONCUR_UPDATABLE}} the rows are ""locked"" on the database side which will then take in a non standard SQL construct of multi-update.  A further optimization can be done by stating...

Updatable Result Sets must contain all the primary key columns of a table AND must not be the result of a {{join}} AND updates on the primary key(s) is not allowed."
29,CONJ-322,CONJ,Diego Dupin,97895,2017-07-23 13:18:44,"available using SNAPSHOT : 

{code:java}
<repositories>
    <repository>
        <id>sonatype-nexus-snapshots</id>
        <name>Sonatype Nexus Snapshots</name>
        <url>https://oss.sonatype.org/content/repositories/snapshots</url>
    </repository>
</repositories>

<dependencies>
    <dependency>
        <groupId>org.mariadb.jdbc</groupId>
        <artifactId>mariadb-java-client</artifactId>
        <version>2.1.0-SNAPSHOT</version>
    </dependency>
</dependencies>
{code}

There is different restrictions : 
- cannot be use if different tables are in resultset
- for update/delete, primary key must be in resultset
- for insert, primary key is not mandatory if generated with AUTO_INCREMENT
",4,"available using SNAPSHOT : 

{code:java}

    
        sonatype-nexus-snapshots
        Sonatype Nexus Snapshots
        URL
    



    
        org.mariadb.jdbc
        mariadb-java-client
        2.1.0-SNAPSHOT
    

{code}

There is different restrictions : 
- cannot be use if different tables are in resultset
- for update/delete, primary key must be in resultset
- for insert, primary key is not mandatory if generated with AUTO_INCREMENT
"
30,CONJ-327,CONJ,Diego Dupin,101074,2017-10-03 08:34:20,reported until MDEV-9804 is implemented,1,reported until MDEV-9804 is implemented
31,CONJ-400,CONJ,Shashi Mall,103735,2017-11-28 16:21:16,"Hi Diego,

Thanks for your work on this issue but I am somewhat confused by the implementation.

Firstly, the query used to determine the cluster status does not, in my opinion, return the desired information.

Using the mysql client, I see the following:

MariaDB [(none)]> select @@wsrep_cluster_status;
ERROR 1193 (HY000): Unknown system variable 'wsrep_cluster_status'

However, the desired information can be obtained (apologies for the lack of formatting):

MariaDB [(none)]> show status like 'wsrep_cluster_status';
+----------------------+---------+
| Variable_name        | Value   |
+----------------------+---------+
| wsrep_cluster_status | Primary |
+----------------------+---------+
1 row in set (0.00 sec)

Please let me know where I am going wrong in my analysis.

Secondly, this issue was going to deal with the wsrep_ready status variable but this is not implemented in the code and was removed from the description.  Can you please explain what happened?",1,"Hi Diego,

Thanks for your work on this issue but I am somewhat confused by the implementation.

Firstly, the query used to determine the cluster status does not, in my opinion, return the desired information.

Using the mysql client, I see the following:

MariaDB [(none)]> select @@wsrep_cluster_status;
ERROR 1193 (HY000): Unknown system variable 'wsrep_cluster_status'

However, the desired information can be obtained (apologies for the lack of formatting):

MariaDB [(none)]> show status like 'wsrep_cluster_status';
+----------------------+---------+
| Variable_name        | Value   |
+----------------------+---------+
| wsrep_cluster_status | Primary |
+----------------------+---------+
1 row in set (0.00 sec)

Please let me know where I am going wrong in my analysis.

Secondly, this issue was going to deal with the wsrep_ready status variable but this is not implemented in the code and was removed from the description.  Can you please explain what happened?"
32,CONJ-400,CONJ,Diego Dupin,104857,2017-12-22 13:52:06,"Implementation in 2.2.0 was never using the variable wsrep_cluster_status, but standard COM_PING.
This is now corrected in release 2.2.1 and 1.7.1 and well tested with galera.
",2,"Implementation in 2.2.0 was never using the variable wsrep_cluster_status, but standard COM_PING.
This is now corrected in release 2.2.1 and 1.7.1 and well tested with galera.
"
33,CONJ-400,CONJ,Shashi Mall,105193,2018-01-03 14:44:32,"Hi Diego,

Thank you for working on this and I can confirm that the isValid() method is working as described.  The implementation certainly ensures that only a connection to a primary component node is considered valid.

However, I feel that this is not a comprehensive solution since the wsrep_ready status must also be examined in order to determine if the node can accept queries.  Indeed, this was stated in earlier descriptions of this issue.

I would be very grateful if you could explain why the decision has been made to not examine the wsrep_ready status.  I am sure there must be a good reason but I cannot work it out.",3,"Hi Diego,

Thank you for working on this and I can confirm that the isValid() method is working as described.  The implementation certainly ensures that only a connection to a primary component node is considered valid.

However, I feel that this is not a comprehensive solution since the wsrep_ready status must also be examined in order to determine if the node can accept queries.  Indeed, this was stated in earlier descriptions of this issue.

I would be very grateful if you could explain why the decision has been made to not examine the wsrep_ready status.  I am sure there must be a good reason but I cannot work it out."
34,CONJ-430,CONJ,Diego Dupin,101073,2017-10-03 08:33:30,already done in 1.5.8,1,already done in 1.5.8
35,CONJ-492,CONJ,Diego Dupin,97963,2017-07-25 13:54:16,"this evolution works only for MariaDB server, since MySQL server don't make distinction (KILL command return ER_QUERY_INTERRUPTED (error 1317) )",1,"this evolution works only for MariaDB server, since MySQL server don't make distinction (KILL command return ER_QUERY_INTERRUPTED (error 1317) )"
36,MCOL-1,MCOL,David Hill,83057,2016-04-27 15:10:27,"This will be addressed with a Documentation change to tell the user not to do any database changes via cpimport, DDl, or DML while the redistributeDB command is running..

So no code changes required..",1,"This will be addressed with a Documentation change to tell the user not to do any database changes via cpimport, DDl, or DML while the redistributeDB command is running..

So no code changes required.."
37,MCOL-1,MCOL,Dipti Joshi,83813,2016-05-31 07:02:12,[~hill]Since redistributeDB is not part of storage engine or server code  using different component for this,2,[~hill]Since redistributeDB is not part of storage engine or server code  using different component for this
38,MCOL-1,MCOL,David Hill,83850,2016-05-31 13:19:30,"FYI - redistributeDB is an Enterprise tool, so it will NOT be included with the MariaDB ColumnStore product since we aren't providing the InfiniDB Enterprise tools.
At least not in the Alpha phase..",3,"FYI - redistributeDB is an Enterprise tool, so it will NOT be included with the MariaDB ColumnStore product since we aren't providing the InfiniDB Enterprise tools.
At least not in the Alpha phase.."
39,MCOL-1,MCOL,David Thompson,88509,2016-11-18 19:47:54,[~David.Hall] - make sure this is covered in the documentation for redistribute.,4,[~David.Hall] - make sure this is covered in the documentation for redistribute.
