issue_key,issue_type,project_key,created,time_add_to_sprint,creator,priority,original_summary_sprint,original_description_sprint,original_acceptance_criteria_sprint,original_story_points_sprint,num_comments_before_sprint,num_changes_text_before_sprint,num_changes_story_point_before_sprint,time_until_add_to_sprint,num_changes_summary_description_acceptance_sprint,num_different_words_all_text_sprint,is_change_text_num_words_5,is_change_text_num_words_10,is_change_text_num_words_15,is_change_text_num_words_20,num_issues_cretor_prev
MDEV-6792,Task,MDEV,2014-09-26 01:14:06,2015-06-17 21:28:46.000,nirbhay_c,Major,Build galera library through buildbot,"Enable buildbot to build galera library for all supported platforms.

https://github.com/codership/galera
",,,2,0,0,381374.6666666667,0,0,0,0,0,0,0
MDEV-6829,Task,MDEV,2014-10-02 21:03:00,2015-06-17 21:28:57.000,nirbhay_c,Major,SELinux policy for Galera server,"Currently, there is no straight forward way to configure SELinux for MariaDB
Galera server. As a result, SELinux is normally disabled.
",,,1,0,0,371545.95,1,4,0,0,0,0,1
MDEV-7472,Task,MDEV,2015-01-15 15:50:17,2015-06-18 10:02:20.372,ivan.stoykov@skysql.com,Major,Implementation of user statements for handling the xtradb changed page bitmaps,"There are user statements available at Percona server for maintenance the  bitmap files that keep the changed pages.
These statements are not available in MariaDB.
reference:
http://www.percona.com/doc/percona-server/5.6/management/changed_page_tracking.html#changed-page-tracking-statements


",,,4,0,0,221412.0562,0,0,0,0,0,0,0
MDEV-4682,Task,MDEV,2013-06-19 20:47:59,2015-09-09 07:57:26.968,rspadim,Major,QUERY CACHE - add STATISTICS per query and show this informations in qc_info plugin,"Change sql_cache.cc and sql_cache.h to add hit rates and statistics
usable with qc_info plugin

Statistics:
total hits / total time expent in query cache
hits in three categories:
1) low period category: period between the last hit and the current hit < query expent time 
2) high period category: period < query expent time * 10 and > query expent time
3) outlier category: period > 1 second, and period > query expent time * 10
3.1) in a future version instead of  * 10, we could use number of competitors (concurrent) when inserting this query at query cache
for example if we have 9 concurrent inserts of the same query at query cache this number *10 is an acceptable value for high period, if we have n concurrent inserts a (n+1) value is acceptable

These categories helps to understand what kind of query we have cached:
1) low period hits: in this case if we lose this query entry, we will have a performace problem, and users will tell ""the server is slow now""
2) high period hits: we have a query that is executed with a good frequency, removing it we will have a higher i/o in disks
3) outlier period hits: this query isn't a query that we should cache, or we can loose it and we don't see users reporting ""hey the server is slow, or the disks is spinning a lot""

this allow a better query cache control (MDEV-4584) and a better cache hit rate when optimizing queries with SQL_CACHE/SQL_NO_CACHE


---
a second part could be an variable (query_cache_stats=0/1) to turn off/on the statistics and use a block memory just to statistics instead of one big block sharing memory with queries flags

in this case:
turn on -> off, should clean this stats memory block
turn off -> on, should create stats with 0 value (maybe a problem with lock contention), or clean all query cache and start from zero

changing query cache queries (invalidate, table invalidate, reallocation, etc) should handle the stats block too


---

tables of this plugin:

query_cache_queries:
|| *QUERY_CACHE_ID* || *STATEMENT_SCHEMA* || *STATEMENT_TEXT* || *RESULT_FOUND_ROWS* || *QUERY_ROWS* || *SELECT_ROWS_READ* || *QUERY_HITS* || *QUERY_HITS_PERIOD_LOW* || *QUERY_HITS_PERIOD_HIGH* || *QUERY_HITS_PERIOD_OUTLIERS* || *QUERY_HITS_TOTAL_TIME_US* || *QUERY_HITS_MEAN_PERIOD_US* || *QUERY_HITS_MEAN_PERIOD_LOW_US* || *QUERY_HITS_MEAN_PERIOD_HIGH_US* || *QUERY_INSERT_TIME* || *QUERY_LAST_HIT_TIME* || *SELECT_EXPEND_TIME_US* || *SELECT_LOCK_TIME_US* || *TABLES_TYPE* || *RESULT_LENGTH* || *RESULT_BLOCKS_COUNT* || *RESULT_BLOCKS_SIZE* || *RESULT_BLOCKS_SIZE_USED* || *FLAGS_CLIENT_LONG_FLAG* || *FLAGS_CLIENT_PROTOCOL_41* || *FLAGS_PROTOCOL_TYPE* || *FLAGS_MORE_RESULTS_EXISTS* || *FLAGS_IN_TRANS* || *FLAGS_AUTOCOMMIT* || *FLAGS_PKT_NR* || *FLAGS_CHARACTER_SET_CLIENT* || *FLAGS_CHARACTER_SET_RESULTS* || *FLAGS_COLLATION_CONNECTION* || *FLAGS_LIMIT* || *FLAGS_TIME_ZONE* || *FLAGS_SQL_MODE* || *FLAGS_MAX_SORT_LENGTH* || *FLAGS_GROUP_CONCAT_MAX_LEN* || *FLAGS_DIV_PRECISION_INCREMENT* || *FLAGS_DEFAULT_WEEK_FORMAT* || *FLAGS_LC_TIME_NAMES* ||
|| 1 || teste || select * from t1 || 3 || 3 || 3 || 0 || 0 || 0 || 0 || 0 ||  ||  ||  || 1411247500.713750 ||  || 232 || 35 || NON TRANSACT || 78 || 1 || 512 || 142 || 1 || 1 || 0 || 0 || 0 || 1 || 1 || utf8 || utf8 || utf8_general_ci || -1 || SYSTEM || PIPES_AS_CONCAT,ALLOW_INVALID_DATES || 1024 || 1024 || 5 || 0 || en_US ||

query_cache_queries_tables:
|| *QUERY_CACHE_ID* || *SCHEMA* || *TABLE_NAME* || *TABLE_SUFFIX* ||
|| 1 || teste || t1 || (here we display partition name like P#p0) ||

query_cache_tables
|| *TABLE_SCHEMA* || *TABLE_NAME* || *TABLE_HASHED* || *TABLE_TYPE* || *QUERIES_IN_CACHE* ||
|| teste || t1 || 1 || NON_TRANSACT || 1 ||
",,,14,7,0,1168509.4661333333,0,0,0,0,0,0,0
MDEV-6113,Task,MDEV,2014-04-15 20:32:28,2015-11-17 17:51:08.000,serg,Major,merge 5.7 innodb and xtradb,"merge 5.7 innodb and xtradb, preferably both at the same time.",,,3,0,0,836478.6666666666,1,2,0,0,0,0,0
MDEV-4691,Task,MDEV,2013-06-21 19:26:48,2015-11-17 17:51:35.000,qiushuang,Critical,Kerberize MariaDB -- add Kerberos authentication support to MariaDB,"This task identifies TODOs to add Kerberos authentication support to MariaDB.

Kerberos is a standardised network authentication protocol providing mutual authentication of potential users and network service. Many commercial relational database management systems have already internalized support for Kerberos authentication. The goal of this project aims to adding cross-platform Kerberos authentication support to MariaDB database.

h3. User Scenario
In this section, we give a normal use case.
Suppose user Adam what to authentication against his Kerberos principal.

*Step 1* Create a login user in MariaDB and specify the _kerberos_ as server side authentication plugin.
{code}
CREATE USER 'adam' IDENTIFIED VIA kerberos AS 'adam/mariadb@lp';
{code}
The gap between MariaDB username length and Kerberos principal name length make it error-prone to embedded a whole principal name into a MariaDB login name. We use a short name as MariaDB login name and identify the principal name with the *AS* clause. If the *AS* clause is absent when creating a user, the MariaDB login name is used as principal name implicitly.
*Step 2* At client side, Adam acquires a service ticket (or access token) to MariaDB.
*Step 3* Adam tries to login with short login name.
{code}
$ mysql -u adam
{code}
*Step 4* If _adam/mariadb@lp_ is a valid principal in Kerberos and the service ticket is not expired, Adam can login MariaDB passwordlessly; otherwise, he will receive an actionable error message.

h3. The Source Code
Source codes will be located in the _plugin/auth_kerberos_ directory.
*_mysql_declar_plugin/mysql_declare_plugin_end_* macros can be used to define server side plugin and *_mysql_declare_client_plugin/mysql_end_client_plugin_* macros for client side.

h3. Client-Server Communication
This section defines the message exchanges between client and server during Kerberos authentication.

*Step 1* Server sends the null-terminated SPN to the client (the SPN is given as server parameter, documented in yet another section).
*Step 2* Client receives SPN from server with *_vio->read_packet_*, creates a secure context with the SPN by *_gss_init_sec_context_* repeating until done.
*Step 3* Client writes the output token created by *_gss_init_sec_context_* to the server, using *_vio->write_packet_*.
*Step 4* Server acquire credential with *_gss_acquire_cred_* to get the initial server credential.
*Step 5* Server reads token created at *step 3*, checks the principal name enclosed in the token with its credential get in *step 4* and accepts the access requests if recognizable otherwise fails the connection.

h3. Figure-out SPN
This section describes the policy to identify a valid service principal name.

For the server side plugin, an SPN is requried. The principal name is an option in configuration file (e.g. _~/.my.cfn_) with {code}spn=primary/instance@realm{code} or {code}spn=primary@machine.domain{code} depending on its platform, where *primary* is the service name. If this option does not present, *mysql* is the default SPN.

h3. Cross-platform Requirements

GSSAPI based Kerberos authentication is widely used in *nix world, while Windows also provides an SSPI based Kerberos authentication process. The plugin will support Windows-SSPI in addition to GSSAPi to maximize the compatibility.

h3. Links
# Configure Kerberos authentication in Oracle RDBMS. http://docs.oracle.com/cd/A97630_01/network.920/a96573/asokerb.htm
# Using Kerberos authentication with SQL Server. http://msdn.microsoft.com/en-us/library/cc280745(v=sql.105).aspx
# Configuring Kerberos for Sybase. http://www.sybase.com.hk/content/1029260/1029260.pdf
# The Kerberos network authentication service (v5). http://tools.ietf.org/html/rfc4120
# GSS-API C-binding. http://tools.ietf.org/html/rfc2744
# The Kerberos version 5 Generic Security Service Application Program Interface (GSS-API) mechanism: Version 2. http://tools.ietf.org/html/rfc4121
# MariaDB Pluggable Authentication. https://kb.askmonty.org/en/development-pluggable-authentication/
# How the Kerberos Version 5 Authentication Protocol Works. http://technet.microsoft.com/en-us/library/cc772815(v=ws.10).aspx
# SSPI/Kerberos Interoperability with GSSAPI. http://msdn.microsoft.com/en-us/library/ms995352.aspx
# Best Practices for Integrating Kerberos into Your Application. http://www.kerberos.org/software/appskerberos.pdf",,,22,0,0,1265664.7833333334,0,0,0,0,0,0,0
MDEV-5535,Task,MDEV,2014-01-16 20:04:18,2015-11-18 09:19:40.132,chombik,Major,cant reopen temporary table,"It is a well-known and very old MySQL/MariaDB limitation that temporary tables can only be used once in any query; for example, one cannot join a temporary table to itself. This task is about removing this limitation.

*original bug report:*
{quote}
if I {{create temporary table a (id int);}} I cant {{select a1.* from a a1, a a2;}}

I understand, that http://bugs.mysql.com/bug.php?id=10327 is in ""feature"" state for 8(!!!) years.
But may be at least at mariadb someone to fix it.
It is not so extraordinary type of select.
I had bumped at almost all kind of problems about this, which are described about this bug. And any kind of rewrite selects/logic to avoid this error is a huge performance and logic issuse at hiload projects.
Can anyone tell me if it would be fixed? when? where?
Because I cant find any mention about it in mariadb.
Sorry if I missed something.
{quote}",,,8,2,0,965595.3688666667,1,3,0,0,0,0,0
MXS-213,New Feature,MXS,2015-06-22 12:51:17,2016-01-12 10:41:08.508,stephane@skysql.com,Major,Binlog Server Phase 3: Support Semi-Sync Replication in Binlog Server  ,"The mysqlbinlog backup implementation is sharing the code with the server semisync slave plugin. 
https://github.com/facebook/mysql-5.6/commit/60930e21c2c1d52c059cf89b37caaf0d40338a8f

Semi-sync implementation would enable lossless failover by sending backlog events to a candidate slave ",,,4,1,0,293629.8584666667,0,0,0,0,0,0,1
MXS-300,New Feature,MXS,2015-08-03 20:39:13,2016-05-04 09:31:42.000,caisunny,Major,LONGBLOB are currently not supported.,"Why LONGBLOB are currently not supported? 
For small data in LONGBLOB, it seems fine.
In which situation, it will cause problem?
For 1.0.5, is it support LONGBLOB? Because I did not see ""LONGBLOB are currently not supported."" in the document.
",,,5,0,0,395332.48333333334,0,0,0,0,0,0,0
MDEV-9185,Task,MDEV,2015-11-25 11:14:00,2016-05-11 07:34:06.000,svoj,Major,[PATCH] Integrate with Travis-CI for easier and more automatic QA,"I simplified and refactored the original suggestion from Daniel Black regarding a .travis.yml file that enables the usage of the continous integration service by Travis, which is free for open source projects and easily available to anybody who wants to developd and work with the MariaDB server sources.

This Travis-CI file is not intended to replace the buildbots currently used by MariaDB core developers, but rather to provide an extra facility for occasional contributors who don't have their own buildbot trees.

Currently Travis-CI has a 50 minute limit on the build duration, so the tests are limited to the 'main' suite. Parallel Travis-CI jobs would be a way around that restriction, but it wastes resources, so I am working with Travis-CI dev to figure out another more effective solution.

The Travis build also includes building the Debian packages, which will help spot packaging breakages early on.

The code in this PR branch passes the test. Log visible at https://travis-ci.org/MariaDB/server/builds/92879843",,,2,0,0,241700.1,3,1,0,0,0,0,0
MDEV-8320,New Feature,MDEV,2015-06-16 09:24:58,2016-07-20 08:28:46.000,jkavalik,Blocker,Allow index usage for DATE(datetime_column) = const,"Would it be possible to make DATE() on datetime column sargable in some cases?
Like rewrite ""DATE(col) = const"" to ""col BETWEEN concat(const, ' 00:00:00') AND concat(const, ' 23:59:59')""

Other similar cases:
- ""YEAR(col) = const"" is almost the same
- ""YEAR(col) = c1 AND MONTH(col) = c2"" and other such combinations may be too complex to be worth it.",,,14,1,0,575943.8,0,0,0,0,0,0,0
MDEV-7635,Task,MDEV,2015-02-25 20:19:11,2016-08-03 10:11:02.000,mathnode,Blocker,update defaults and simplify mysqld config parameters ,"Poor MySQL has received some negative feedback over the years ^1^ ^2^. As entertaining as it is watching and listening to developers struggle and whine, I think it's about time we changed some of the defaults and made the config easier to understand.

Oracle are working on changing more defaults in 5.7 ^3^ ^4^ ^5^, I think we should too.

Something else they have done, is to radically change the simplicity of the default server config file, /etc/my.cnf:
https://raw.githubusercontent.com/mysql/mysql-server/5.7/support-files/my-default.cnf.sh

It's quite clear there, the sql_mode has been set, which will satisfy most developers and users looking for an ACID compliant database with little tweaking, and a rough note on increasing or decreasing RAM needed for InnoDB. MariaDB now probably needs something similar for Galera, CONNET and TokuDB.

# http://sql-info.de/mysql/gotchas.html
# http://blog.ionelmc.ro/2014/12/28/terrible-choices-mysql/
# http://www.tocker.ca/2015/01/23/proposal-to-change-additional-defaults-in-mysql-5-7.html
# http://www.tocker.ca/2015/01/14/proposal-to-change-replication-and-innodb-settings-in-mysql-5-7.html
# http://www.tocker.ca/2015/02/24/proposal-to-change-additional-defaults-in-mysql-5-7-february-edition.html",,,4,0,0,755391.85,5,126,1,1,1,1,0
MCOL-271,New Feature,MCOL,2016-08-18 12:55:53,2016-08-25 11:15:31.000,linuxjedi,Blocker,Empty varchar text gets set to NULL,"I suspect this is related to MCOL-171.

MariaDB [sakila]> create table t2 (a varchar(255)) engine=columnstore;Query OK, 0 rows affected (0.61 sec)

MariaDB [sakila]> insert into t2 values ('');
Query OK, 1 row affected (0.26 sec)

MariaDB [sakila]> select * from t2;
+------+                                           
| a    |
+------+
| NULL |
+------+
1 row in set (0.10 sec)


MariaDB [sakila]> create table t1 (a varchar(255) not null) engine=columnstore;
Query OK, 0 rows affected (0.53 sec)

MariaDB [sakila]> insert into t1 values ('');
ERROR 1815 (HY000): Internal error: CAL0001: Insert Failed:  IDB-4015: Column 'a' cannot be null.  

",,,4,0,0,9979.633333333333,4,24,1,1,1,1,0
MDEV-6284,Task,MDEV,2014-05-30 21:56:04,2016-08-31 07:43:58.000,otto,Major,Merge downstream Debian/Ubuntu packaging into upstream MariaDB,"== Motivation ==

Merge downstream .deb-packaging into upstream MariaDB to unify, streamline and ease future release packaging. This will also fix some packaging errors in current MariaDB.org deb-packages.

== Patch description ==

List of notable changes:
* Completely new Debian packaging standard (3.0 quilt) including rules file, patch conventions and .files -> .install file listing conventions
* The will no longer be a debian/dist subfolder and the packaging of Debian an Ubuntu will be unified (= Debian will ship with AppArmor files included)
* Support for Debian releases before Wheezy (7) and Ubuntu releases before Precise (12.04) will be dropped

The upstream MariaDB contents of debian/* will not be fully identical to the downstream Debian/Ubuntu one.

List of intended differences between Debian master and MariaDB master regarding debian/ contents:
* control file: maintainer, uploaders, VCS and browser links
* omitted packages (not allowed in Debian): libmariadbclient18, libmysqlclient18, libmariadbclient-dev, mysql-common
* omitted plugins (problematic in Debian): Handler socket, TokuDB, Mroonga, Cassandra
* keep autobake.sh in mariadb.org repo

To close this bug please:

1) Merge selected parts of debian/* from https://anonscm.debian.org/gitweb/?p=pkg-mysql/mariadb-10.0.git to https://github.com/MariaDB/server via pull requests arriving from branch ok-debpkg at https://github.com/ottok/mariadb

2) Backport form MariaDB development head to 10.1, 10.0 and maybe even 5.5 commits that fix individual issues.

== Quality assurance ==

The new debian/* contents represents the state of the art of Debian packaging. The mariadb-5.5 and mariadb-10.0 has passed all Debian quality assurance and landed in the official Debian repositories. More details at https://wiki.debian.org/Teams/MySQL/MariaDB

These same packages have also gone downstream to Ubuntu, has passed Ubuntu QA and are included since the Ubuntu 14.04 release.

Buildbot test for ok-debpkg branch: https://buildbot.askmonty.org/buildbot/grid?branch=ok-debpkg&category=main

== Roll-out planning ==

This merge should be safe to release with 10.1. All new installs and upgrades using the MariaDB.org repo or mixing it with official Debian or Ubuntu repository contents is expected to work.

Below are the different scenarios how releasing the new packging at MariaDB.org will affect current installs/upgrades:

A) If users currently have a MariaDB.org repo enabled, those packages will have a + in their version number. Debian package manager will always consider e.g. 10.1.6+maria as more recent than 10.1.6 from the native repositories. Therefore people having MariaDB.org repositories will always get primarly the packages from MariaDB.org repositories. It is very unlikely that a Debian repository would ever have a more recent release than in MariaDB.org (e.g. 10.1.7 would override 10.1.6+maria, but that is not likely to take place as MariaDB.org always releases first).

B) The new packaging is designed and tested that it allows seamless upgrades from old deb packaging generation to new generation. Whether the new packaging is from MariaDB.org or distro repositories does not matter.

C) Backwards works only partially, but is a rare case (e.g. current Ubuntu users trying to upgrade from new style debs 10.0 to MariaDB.org repo old style debs 10.0 will see issues, e.g. MDEV-5977). As soon as this merge is done and MariaDB.org publishes packages using the new packaging this corner case is fixed.

D) If users remove the MariaDB.org from their install, they will automatically have their 10.1.6+maria updated to Debian/Ubuntu native 5.5.39 once it is released in Debian.

E) Like previously, upgrading from MySQL 5.5 to MariaDB 5.5 works seamlessly and backwards also. Updating from MariaDB 5.5 to 10.0 works seamlessly but backwards will have issues (downgrade flag, InnoDB log size mismatch etc) the package manager will not solve automatically. If users dump and import data manually, and in between completely purge and install the packages, then users can always migrate to whatever version.",,,10,3,0,1185707.9,2,0,0,0,0,0,0
MDEV-9197,Task,MDEV,2015-11-27 01:39:35,2016-08-31 07:44:50.269,psergey,Major,Pushdown conditions into non-mergeable views/derived tables,"It is possible to do condition pushdown into non-mergable VIEWs or derived tables.

Example:
{noformat}
select ...
from 
  (select col1, max(col2) as max_val 
   from t2 
   group by t1 ) TBL
where 
   col1 !='foo' and max_val > 100
{noformat}

here, both parts of top-level select's WHERE clause can be pushed into derived table's HAVING clause.

h2. Implementation challenges
Moving condition from one select into another changes the context which condition is used in. 
Table condition pushdown produces strictest-possible conditions, but has a property that certain part of condition can be attached to multiple tables.  
Doing the same thing here will cause trouble: if the same part of the condition is both in subquery's HAVING and in upper select's WHERE, it should e.g. automagically changes its used_tables() depending on what context we're looking at it from. 
The solution to this is to do limited pushdown: only push down expressions that we can completely remove from upper query's WHERE.

Pushdown may also require adjustments to {{ref_pointer_array}}. Sanja and Igor seem to understand the details of this. ",,,2,0,0,400685.2544833334,0,0,0,0,0,0,0
MDEV-10813,Task,MDEV,2016-09-15 09:18:04,2016-09-30 12:33:05.000,svoj,Critical,"Clean-up InnoDB atomics, memory barriers and mutexes","InnoDB atomics implementation is getting worse: 5.7 implementation is not maintainable. We should remove it and use atomics provided by server instead.

InnoDB is now full of meaningless memory barriers, these should be removed along with memory barriers implementation.

We should restore fixes for InnoDB rwlocks.

Mutexes should be cleaned up so that their code is readable. Also we should ensure that mutexes issue proper memory barriers.

NOTE: there're 4 mutex implementations in InnoDB: futex base, spin lock (never used), pthread/critical_section based, event based (default). We should consider removing 3 implementations and leaving only pthread/critical_section based solution.",,,10,1,0,21795.016666666666,0,0,0,0,0,0,1
